Word,Year,Round,Part_of_Speech,Language,Times_Used,Years_Since_Last_Used,Num_Syllables,Word_Length,Reduplication,Error
aardwolf,2017,2,noun,Germanic,1,0,2,8,1,0
accountant,2009,2,noun,Germanic,1,0,3,10,1,0
acculturation,1997,1,noun,Germanic,1,0,5,13,1,0
affenpinscher,1999,5,noun,Germanic,1,0,4,13,1,1
affinity,2015,2,noun,Germanic,1,0,4,8,1,0
Albumblatt,2015,7,noun,Germanic,1,0,3,10,1,0
allayment,1997,2,noun,Germanic,1,0,3,9,1,1
allotriophagy,2008,7,noun,Germanic,1,0,6,13,1,0
ampulla,2008,3,noun,Germanic,1,0,3,7,1,0
annuity,1998,2,noun,Germanic,1,0,4,7,1,0
apprentice,2009,2,noun,Germanic,1,0,3,10,1,0
artillery,1998,2,noun,Germanic,1,0,3,9,1,0
backgammon,1996,3,noun,Germanic,1,0,3,10,1,0
bailiff,2008,2,noun,Germanic,1,0,2,7,1,0
bailliage,2016,13,noun,Germanic,1,0,2,9,1,0
baleen,2013,3,noun,Germanic,1,0,2,6,1,0
barratry,1998,3,noun,Germanic,1,0,3,8,1,1
barrister,2001,2,noun,Germanic,1,0,3,9,1,0
battledore,1996,4,noun,Germanic,1,0,3,10,1,1
Beckmesser,2009,4,noun,Germanic,1,0,3,10,1,0
beggar,2007,2,noun,Germanic,1,0,2,6,1,0
bellwether,2003,3,noun,Germanic,1,0,3,10,1,1
berghaan,2017,25,noun,Germanic,1,0,2,8,1,0
blunderbuss,1999,2,noun,Germanic,1,0,3,11,1,0
bobbejaan,2010,3,noun,Germanic,1,0,3,9,1,0
brattice,1996,4,noun,Germanic,1,0,2,8,1,1
buzzard,2001,2,noun,Germanic,1,0,2,7,1,0
caffeol,2011,7,noun,Germanic,1,0,3,7,1,1
carcass,1999,2,noun,Germanic,1,0,2,7,1,0
castellan,2003,1,noun,Germanic,1,0,3,9,1,0
catarrh,2000,1,noun,Germanic,1,0,2,7,1,0
chaffinch,1998,1,noun,Germanic,1,0,2,9,1,0
